minutes_roll_3,api_shots_total_roll_3,threat_roll_5,element,value,assists_roll_5,bonus_roll_3,goals_conceded_roll_5,ict_index_roll_5,threat_roll_3,influence_roll_5,total_points_roll_5,api_minutes_roll_5,next_was_home,api_minutes_roll_3,ict_index_roll_3,goals_scored_roll_5,api_key_passes_roll_5,api_goals_roll_3,total_points_roll_3,round,api_goals_roll_5,minutes_roll_5,assists_roll_3,influence_roll_3,api_shots_on_roll_3,api_key_passes_roll_3,goals_conceded_roll_3,api_assists_roll_3,bps_roll_3,goals_scored_roll_3,api_assists_roll_5,api_shots_total_roll_5,api_shots_on_roll_5,bonus_roll_5,bps_roll_5,next_opponent_strength,target_points
30.0,0.0,2.0,30,75,0.0,0.0,0.0,0.6,2.0,2.8,1.0,31.0,True,31.0,0.6,0.0,0.0,0.0,1.0,1,0.0,30.0,0.0,2.8,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0
15.0,0.0,1.0,30,75,0.0,0.0,0.0,0.3,1.0,1.4,0.5,15.5,False,15.5,0.3,0.0,0.0,0.0,0.5,2,0.0,15.0,0.0,1.4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0
10.0,0.0,0.6666666666666666,30,74,0.0,0.0,0.0,0.19999999999999998,0.6666666666666666,0.9333333333333332,0.3333333333333333,10.333333333333334,True,10.333333333333334,0.19999999999999998,0.0,0.0,0.0,0.3333333333333333,3,0.0,10.0,0.0,0.9333333333333332,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,3.0,0.0
0.0,0.0,0.5,30,74,0.0,0.0,0.0,0.15,0.0,0.7,0.25,7.75,True,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
0.0,0.0,0.4,30,73,0.0,0.0,0.0,0.12,0.0,0.5599999999999999,0.2,6.2,False,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,3.0,0.0
0.0,0.0,0.0,30,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,0.0,0.0,30,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,0.0,0.0,30,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,0.0,0.0,30,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,0.0,0.0,30,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,0.0,0.0,30,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,0.0,0.0,31,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,True,12.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,0.5,0.0,31,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,False,10.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,4.0,0.0
0.0,0.3333333333333333,0.0,31,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.333333333333334,True,12.333333333333334,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,3.0,0.0
0.0,0.3333333333333333,0.0,31,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,True,8.333333333333334,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,4.0,0.0
0.0,0.3333333333333333,0.0,31,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,False,10.666666666666666,0.0,0.0,0.2,0.0,0.0,5,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,3.0,0.0
0.0,0.6666666666666666,0.0,31,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,True,15.0,0.0,0.0,0.2,0.0,0.0,6,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,3.0,0.0
0.0,0.6666666666666666,0.0,31,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,False,23.666666666666668,0.0,0.0,0.2,0.0,0.0,7,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,3.0,0.0
0.0,0.6666666666666666,0.0,31,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,True,33.666666666666664,0.0,0.0,0.2,0.0,0.0,8,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,3.0,0.0
0.0,0.3333333333333333,0.0,31,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2,False,38.666666666666664,0.0,0.0,0.4,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,3.0,0.0
