minutes_roll_3,element,value,bonus_roll_3,goals_conceded_roll_5,ict_index_roll_5,total_points_roll_5,api_minutes_roll_5,next_was_home,api_minutes_roll_3,ict_index_roll_3,total_points_roll_3,round,minutes_roll_5,api_saves_roll_3,goals_conceded_roll_3,saves_roll_3,bps_roll_3,clean_sheets_roll_5,saves_roll_5,api_saves_roll_5,clean_sheets_roll_3,bonus_roll_5,bps_roll_5,next_opponent_strength,target_points
90.0,1,55,3.0,0.0,4.9,10.0,90.0,True,90.0,4.9,10.0,1,90.0,7.0,0.0,7.0,38.0,1.0,7.0,7.0,1.0,3.0,38.0,3.0,6.0
90.0,1,55,1.5,0.0,3.1,8.0,90.0,False,90.0,3.1,8.0,2,90.0,4.0,0.0,4.0,33.0,1.0,4.0,4.0,1.0,1.5,33.0,4.0,2.0
90.0,1,55,1.0,0.3333333333333333,3.0666666666666664,6.0,90.0,True,90.0,3.0666666666666664,6.0,3,90.0,3.3333333333333335,0.3333333333333333,3.3333333333333335,26.0,0.6666666666666666,3.3333333333333335,3.3333333333333335,0.6666666666666666,1.0,26.0,3.0,6.0
90.0,1,55,0.0,0.25,2.625,6.0,90.0,True,90.0,1.8666666666666665,4.666666666666667,4,90.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,21.333333333333332,0.75,2.75,2.75,0.6666666666666666,0.75,25.5,4.0,2.0
90.0,1,55,0.0,0.4,2.5200000000000005,5.2,90.0,False,90.0,2.1333333333333333,3.3333333333333335,5,90.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,16.333333333333332,0.6,2.6,2.6,0.3333333333333333,0.6,23.0,3.0,2.0
90.0,1,56,0.0,0.6,1.86,3.6,90.0,True,90.0,1.6666666666666667,3.3333333333333335,6,90.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,16.0,0.4,1.6,1.6,0.3333333333333333,0.0,17.6,3.0,6.0
90.0,1,56,0.0,0.6,1.6599999999999997,3.6,90.0,False,90.0,1.3333333333333337,3.3333333333333335,7,90.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,14.666666666666666,0.4,1.4,1.4,0.3333333333333333,0.0,16.0,3.0,6.0
90.0,1,57,0.0,0.4,1.1600000000000001,4.4,90.0,True,90.0,0.7999999999999999,4.666666666666667,8,90.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,17.333333333333332,0.6,1.0,1.0,0.6666666666666666,0.0,17.8,3.0,6.0
90.0,1,57,0.0,0.4,1.2000000000000002,4.4,90.0,False,90.0,0.7666666666666666,6.0,9,90.0,0.3333333333333333,0.0,0.3333333333333333,22.0,0.6,1.0,1.0,1.0,0.0,18.0,3.0,6.0
90.0,1,58,0.0,0.2,0.8400000000000001,5.2,90.0,False,90.0,0.7666666666666666,6.0,10,90.0,0.3333333333333333,0.0,0.3333333333333333,22.0,0.8,0.6,0.6,1.0,0.0,19.4,3.0,1.0
90.0,1,59,0.0,0.4,0.5599999999999999,5.0,90.0,True,90.0,0.6666666666666666,4.333333333333333,11,90.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,14.333333333333334,0.8,0.2,0.2,0.6666666666666666,0.0,16.8,3.0,2.0
0.0,2,45,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
0.0,2,45,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
